Ele 1 - RMS,,,,,,,Ele 1 - RMS,,,,,
Min Obs \ Lat Range,Lat 1,Lat 2,Lat 3,Lat 4,Lat 5,,Min Obs \ Lat Range,Lat 1,Lat 2,Lat 3,Lat 4,Lat 5
Min Obs 1,3.28433667,3.595376963,3.556068503,3.52244589,3.53630716,,Min Obs 1,3.13381813,3.409952,3.396489092,3.383405603,3.402929022
Min Obs 2,2.34320496,3.221627201,3.53565735,3.531157005,3.500566257,,Min Obs 2,2.236531821,3.118142256,3.358536028,3.418128724,3.411281515
Min Obs 3,nan,2.836197011,3.203243644,3.498990041,3.499182199,,Min Obs 3,nan,2.802924847,3.100374766,3.31758726,3.384499364
Min Obs 4,nan,2.189014474,2.984321017,3.221136871,3.403619196,,Min Obs 4,nan,2.066254775,2.84143814,3.124038174,3.315057542
Min Obs 5,nan,2.19063074,2.441469544,2.936755573,3.194621686,,Min Obs 5,nan,1.939091494,2.576702975,2.812587472,3.09372751
Min Obs 6,nan,nan,2.121469377,2.560564871,2.919342052,,Min Obs 6,nan,nan,2.026275792,2.777782046,2.856143899
Min Obs 7,nan,nan,2.100985351,2.33914186,2.60043102,,Min Obs 7,nan,nan,1.925732092,2.415342624,2.749207763
Min Obs 8,nan,nan,nan,2.109506028,2.437285642,,Min Obs 8,nan,nan,nan,2.035922589,2.630796043
Min Obs 9,nan,nan,nan,2.097224076,2.169143221,,Min Obs 9,nan,nan,nan,1.957663029,2.180732215
,,,,,,,,,,,,
Ele 1 - Percent,,,,,,,,,,,,
Min Obs \ Lat Range,Lat 1,Lat 2,Lat 3,Lat 4,Lat 5,,,,,,,
Min Obs 1,0.285048923,0.649651624,0.841587319,0.872499859,0.895994141,,,0.150518539,0.185424963,0.159579411,0.139040287,0.133378138
Min Obs 2,0.019719421,0.282907957,0.565515428,0.678667343,0.807688696,,,0.10667314,0.103484946,0.177121322,0.113028281,0.089284743
Min Obs 3,0,0.07403234,0.278851391,0.49157699,0.608672789,,,0,0.033272164,0.102868877,0.181402781,0.114682835
Min Obs 4,0,0.015606513,0.114522884,0.279827972,0.430390445,,,0,0.122759698,0.142882877,0.097098697,0.088561654
Min Obs 5,0,0.003361692,0.031757658,0.145454204,0.272616298,,,0,0.251539247,-0.135233431,0.124168101,0.100894176
Min Obs 6,0,0,0.015531391,0.052078051,0.172047251,,,0,0,0.095193585,-0.217217175,0.063198154
Min Obs 7,0,0,0.008507522,0.021804045,0.073450147,,,0,0,0.175253259,-0.076200764,-0.148776743
Min Obs 8,0,0,0,0.015137003,0.034724961,,,0,0,0,0.073583439,-0.193510401
Min Obs 9,0,0,0,0.009239957,0.019249911,,,0,0,0,0.139561048,-0.011588994
,,,,,,,,,,,,
Ele 2 - RMS,,,,,,,,,,,,
Min Obs \ Lat Range,Lat 1,Lat 2,Lat 3,Lat 4,Lat 5,,Ele 2 - RMS,,,,,
Min Obs 1,2.904819601,3.490329923,3.479744143,3.456862499,3.456351969,,Min Obs \ Lat Range,Lat 1,Lat 2,Lat 3,Lat 4,Lat 5
Min Obs 2,1.867045419,2.92239776,3.474097334,3.402344759,3.437291707,,Min Obs 1,2.907721857,3.316389731,3.343033695,3.35272074,3.366937394
Min Obs 3,nan,2.29729275,2.884082733,3.337550424,3.434851442,,Min Obs 2,1.504769313,2.915341405,3.321161823,3.29939707,3.340777453
Min Obs 4,nan,1.922767075,2.438195752,2.851735882,3.14057079,,Min Obs 3,nan,2.161796318,2.895505479,3.216924189,3.335197512
Min Obs 5,nan,nan,1.823871491,2.476096582,2.752224703,,Min Obs 4,nan,1.455081073,2.473633563,2.882065081,3.163030991
Min Obs 6,nan,nan,1.849394026,2.125439856,2.481823994,,Min Obs 5,nan,nan,1.652571981,2.597830081,2.85311236
Min Obs 7,nan,nan,0.863843267,1.764401379,2.147735169,,Min Obs 6,nan,nan,1.257486675,2.183662283,2.667802187
Min Obs 8,nan,nan,nan,1.817943466,1.749533485,,Min Obs 7,nan,nan,0.559274571,1.525926727,2.263246687
Min Obs 9,nan,nan,nan,0.457479836,1.748531394,,Min Obs 8,nan,nan,nan,1.199524897,1.614029669
,,,,,,,Min Obs 9,nan,nan,nan,0.319349388,1.514158035
Ele 2 - Percent,,,,,,,,,,,,
Min Obs \ Lat Range,Lat 1,Lat 2,Lat 3,Lat 4,Lat 5,,,,,,,
Min Obs 1,0.152985145,0.502263038,0.77179935,0.799199955,0.828253235,,,-0.002902257,0.173940192,0.136710448,0.104141759,0.089414575
Min Obs 2,0.009202396,0.152684658,0.41425808,0.529119011,0.716923019,,,0.362276106,0.007056355,0.152935511,0.102947689,0.096514254
Min Obs 3,0,0.02063966,0.151670517,0.345202547,0.445565008,,,0,0.135496432,-0.011422746,0.120626235,0.09965393
Min Obs 4,0,0.006498019,0.030518151,0.144364941,0.2867955,,,0,0.467686002,-0.035437811,-0.030329199,-0.0224602
Min Obs 5,0,0,0.013822375,0.044265405,0.13636449,,,0,0,0.171299511,-0.1217335,-0.100887658
Min Obs 6,0,0,0.004976806,0.018555036,0.055420963,,,0,0,0.591907352,-0.058222426,-0.185978193
Min Obs 7,0,0,0.000882679,0.011155558,0.022217214,,,0,0,0.304568696,0.238474652,-0.115511518
Min Obs 8,0,0,0,0.004357053,0.013972618,,,0,0,0,0.618418568,0.135503816
Min Obs 9,0,0,0,0.000694875,0.009465322,,,0,0,0,0.138130449,0.234373359
