Ele 10 - RMS,,,,,,,,Ele 1 - RMS,,,,,,
Min Obs \ Lat Range,4,6,8,10,12,14,,Min Obs \ Lat Range,Lat 1,Lat 2,Lat 3,Lat 4,Lat 5,Lat 6
10,3.447826597,3.412209222,3.451853582,3.482218559,3.481823219,3.472129478,,Min Obs 1,3.520222485,3.467836811,3.45085725,3.442709287,3.400082658,3.377170844
20,3.51585292,3.379929721,3.377286692,3.453263854,3.453392795,3.448609751,,Min Obs 2,3.633347317,3.495040911,3.452842382,3.429260058,3.409440832,3.37503895
30,3.621322893,3.386365331,3.34208873,3.393860383,3.434186666,3.432652015,,Min Obs 3,3.8414178,3.538204812,3.453817865,3.39682442,3.410749789,3.380581469
40,3.306124902,3.453815424,3.336359998,3.363348301,3.4213059,3.419297016,,Min Obs 4,3.550029311,3.660032293,3.481210432,3.398844935,3.409857045,3.375845118
50,3.127635753,3.536962164,3.391827728,3.341869162,3.426514489,3.410354668,,Min Obs 5,3.893233199,3.780668194,3.549043998,3.420130919,3.409469427,3.37734035
60,2.269235949,3.205559296,3.473320412,3.345194965,3.415076198,3.400471693,,Min Obs 6,2.621918803,3.573746323,3.667188926,3.471237536,3.419163705,3.372065532
70,2.316127139,2.831770998,3.530694003,3.35569648,3.399665314,3.414833678,,Min Obs 7,3.378422654,3.552142867,3.792900475,3.526409252,3.439657756,3.388221901
80,2.263137625,2.649297013,3.623334658,3.466367341,3.428349355,3.422582535,,Min Obs 8,2.845353537,3.681157428,3.925284897,3.640849196,3.475590839,3.404984598
90,nan,2.466524566,3.320246549,3.552747166,3.463714431,3.436574606,,Min Obs 9,nan,3.432595485,3.77213751,3.745555302,3.524097276,3.448577643
,,,,,,,,,,,,,,
Ele 10 - Percent,,,,,,,,,,,,,,
Min Obs \ Lat Range,4,6,8,10,12,14,,,,,,,,
10,0.377392154,0.500291096,0.613349109,0.702668695,0.774710312,0.82145473,,,-0.072395888,-0.05562759,0.000996333,0.039509273,0.081740561,0.094958634
20,0.302195429,0.427047533,0.54966477,0.648318215,0.729693692,0.784494901,,,-0.117494397,-0.11511119,-0.07555569,0.024003796,0.043951963,0.073570802
30,0.19448983,0.365936109,0.490356264,0.592014574,0.683493906,0.740699007,,,-0.220094907,-0.15183948,-0.111729135,-0.002964037,0.023436877,0.052070546
40,0.042875655,0.295922775,0.430089958,0.533551186,0.645707739,0.703720397,,,-0.243904409,-0.206216869,-0.144850435,-0.035496634,0.011448855,0.043451898
50,0.015493831,0.19071497,0.366499521,0.486074333,0.608184499,0.666497643,,,-0.765597445,-0.24370603,-0.15721627,-0.078261757,0.017045062,0.033014318
60,0.006178752,0.078558416,0.290739384,0.437846264,0.559580821,0.630702199,,,-0.352682854,-0.368187027,-0.193868514,-0.126042572,-0.004087507,0.028406161
70,0.00189682,0.043795895,0.183634759,0.391796721,0.506939358,0.599320149,,,-1.062295514,-0.720371869,-0.262206471,-0.170712772,-0.039992442,0.026611777
80,0.000563412,0.026762071,0.116307022,0.312468308,0.452870584,0.566679813,,,-0.582215912,-1.031860414,-0.301950239,-0.174481854,-0.047241483,0.017597937
90,0,0.011117997,0.075065262,0.230473078,0.400078878,0.518808571,,,0,-0.966070919,-0.451890961,-0.192808136,-0.060382845,-0.012003037
,,,,,,,,,,,,,,
Ele 15 - RMS,,,,,,,,Ele 2 - RMS,,,,,,
Min Obs \ Lat Range,4,6,8,10,12,14,,Min Obs \ Lat Range,Lat 1,Lat 2,Lat 3,Lat 4,Lat 5,Lat 6
10,3.421184134,3.359347929,3.37572397,3.405438827,3.400699224,3.417018416,,Min Obs 1,3.552644428,3.454584788,3.427838278,3.396780373,3.376033278,3.376417464
20,3.501099586,3.36010519,3.328551503,3.38741283,3.365074788,3.395416132,,Min Obs 2,3.673869963,3.51370068,3.437671154,3.383694492,3.343763171,3.358819847
30,3.65020655,3.376831278,3.346181732,3.356634792,3.352717939,3.380265257,,Min Obs 3,3.887229112,3.58626854,3.475689323,3.395445284,3.34400875,3.338779055
