Ele 1 - RMS
Min Obs \ Lat Range,Lat 1,Lat 2,Lat 3,Lat 4,Lat 5,Lat 6
Min Obs 1,3.5202224852150863,3.4678368112207028,3.450857249625666,3.442709286609783,3.40008265836416,3.3771708440388184
Min Obs 2,3.6333473173051605,3.495040910789412,3.452842382234858,3.4292600584352346,3.409440832288858,3.3750389496207727
Min Obs 3,3.8414177999411585,3.5382048115949942,3.453817864945415,3.3968244196242776,3.410749789318467,3.3805814690869975
Min Obs 4,3.5500293106954843,3.660032293239214,3.481210432426108,3.3988449345004415,3.409857044843754,3.3758451179163735
Min Obs 5,3.893233198556236,3.7806681937202553,3.549043998024146,3.4201309188135625,3.409469427183594,3.3773403503614357
Min Obs 6,2.621918803493761,3.573746322559403,3.6671889262703177,3.47123753639607,3.4191637054324504,3.372065531544228
Min Obs 7,3.378422653888263,3.5521428669824027,3.792900474529807,3.526409251912032,3.4396577562777164,3.3882219014503687
Min Obs 8,2.8453535374249763,3.6811574277698558,3.925284896692285,3.640849195503929,3.4755908385310965,3.4049845975249555
Min Obs 9,nan,3.432595484993029,3.772137510182444,3.745555302070309,3.524097276158132,3.4485776427679484

Ele 2 - RMS
Min Obs \ Lat Range,Lat 1,Lat 2,Lat 3,Lat 4,Lat 5,Lat 6
Min Obs 1,3.5526444279315963,3.4545847877191513,3.427838278150641,3.3967803730689297,3.376033278423181,3.376417464208913
Min Obs 2,3.6738699628645195,3.513700679630617,3.437671154055932,3.3836944916017613,3.343763170554472,3.3588198468036445
Min Obs 3,3.887229112262114,3.586268540014399,3.4756893232146635,3.395445284267063,3.3440087498053983,3.3387790554165075
Min Obs 4,3.537203439795914,3.7166267183363093,3.5408156809964777,3.4162296328632795,3.3492045281149676,3.3248419055370766
Min Obs 5,3.5400796387557114,3.8519890235659324,3.631869407855925,3.4671701510383173,3.3844868068140657,3.3356508212912748
Min Obs 6,2.4511879211371177,3.516931210134607,3.7556206582914893,3.5118077058264676,3.4354351113767474,3.340368544961693
Min Obs 7,3.0961755454230064,3.538277291665736,3.8226673154317243,3.611857953641852,3.4698494960402955,3.379622863087112
Min Obs 8,2.8453535374249763,3.5431417387460273,3.9429131935381676,3.73521774317968,3.516104890782135,3.4205891398603074
Min Obs 9,nan,3.4197384350276274,3.748897062637272,3.8479456930748817,3.6030767081695405,3.455673863781988

Ele 3 - RMS
Min Obs \ Lat Range,Lat 1,Lat 2,Lat 3,Lat 4,Lat 5,Lat 6
Min Obs 1,3.6020867270482957,3.4726192604425936,3.4275810296492795,3.360834284957514,3.3191074563518614,3.3317579297960673
Min Obs 2,3.7398624870391823,3.5550092053443305,3.47141956633959,3.40025589925364,3.314380585596929,3.3127093744734335
Min Obs 3,3.9442141140723037,3.6349445796885234,3.5241227478833888,3.424909285683363,3.345891788502244,3.304582397884132
Min Obs 4,3.355774689774496,3.761969748597792,3.599886756646039,3.476293605686197,3.388667739242394,3.327324397148386
Min Obs 5,2.386218753879206,3.8882768100633256,3.676052602278532,3.5290408903400756,3.4249277757506147,3.3508243445917962
Min Obs 6,2.2123709584624267,3.548173679621001,3.7875126219555284,3.58807779159435,3.4972680062338313,3.3819628719606873
Min Obs 7,2.8136226999761376,3.244232669132315,3.8603578354531822,3.6709969455714564,3.565195280260848,3.435322471867492
Min Obs 8,2.93477770084506,3.3654322138371406,3.9617786550477962,3.774856052666973,3.5956080341698757,3.4886979436423693
Min Obs 9,nan,3.119474422996905,3.641336112764949,3.9292806623861933,3.6435780763914676,3.5808328412041486

