Ele 1 - RMS
Min Obs \ Lat Range,Lat 1,Lat 2,Lat 3,Lat 4,Lat 5
Min Obs 1,3.133818130462745,3.409951999995852,3.3964890921729287,3.3834056031177746,3.402929021546649
Min Obs 2,2.23653182079209,3.118142255545074,3.35853602837837,3.4181287242339016,3.411281514830417
Min Obs 3,nan,2.802924846748031,3.100374766188827,3.3175872604305794,3.384499364322606
Min Obs 4,nan,2.066254775479656,2.841438140335248,3.1240381739108165,3.3150575420181005
Min Obs 5,nan,1.9390914935867853,2.576702974526974,2.8125874715956978,3.093727510253525
Min Obs 6,nan,nan,2.0262757918926337,2.7777820459343614,2.856143898659768
Min Obs 7,nan,nan,1.9257320917935907,2.4153426236488613,2.749207763043717
Min Obs 8,nan,nan,nan,2.035922589425184,2.630796043009181
Min Obs 9,nan,nan,nan,1.9576630287487287,2.180732214903839

Ele 2 - RMS
Min Obs \ Lat Range,Lat 1,Lat 2,Lat 3,Lat 4,Lat 5
Min Obs 1,2.9077218571491126,3.3163897314286284,3.343033694687656,3.3527207402821344,3.366937393944222
Min Obs 2,1.5047693129816697,2.9153414045099137,3.3211618226069564,3.2993970701943263,3.3407774534588377
Min Obs 3,nan,2.1617963178944675,2.895505478901658,3.216924189304722,3.3351975118396764
Min Obs 4,nan,1.455081073103084,2.4736335626284545,2.8820650806744696,3.1630309906806615
Min Obs 5,nan,nan,1.6525719809580557,2.597830081376473,2.853112360465908
Min Obs 6,nan,nan,1.257486674535589,2.183662282636362,2.6678021870196007
Min Obs 7,nan,nan,0.5592745711590257,1.5259267268827534,2.263246686890179
Min Obs 8,nan,nan,nan,1.1995248974852641,1.6140296686818096
Min Obs 9,nan,nan,nan,0.3193493876501127,1.51415803486337

